tt0004712	The Exile	6.2	194
tt0022064	Lebbra bianca	5.3	53
tt0025557	El negro que tenía el alma blanca	6.7	37
tt0029947	Bringing Up Baby	7.9	58986
tt0030341	The Lady Vanishes	7.8	50172
tt0030998	You're Only Young Twice	6.0	83
tt0031437	Home on the Prairie	5.7	97
tt0031603	Made in Germany – Ein Leben für Zeiss	6.5	16
tt0032787	Mi noche triste	6.7	9
tt0032867	On Their Own	6.8	24
tt0032916	Play Girl	6.4	304
tt0035074	peh	5.1	180
tt0035423	Kate & Leopold	6.4	81389
tt0035446	To Be or Not to Be	8.2	33766
tt0035933	Elephant Fury	4.2	10
tt0036220	A Good Lad	6.5	80
tt0036247	Our Father	6.4	10
tt0036493	Mystery of the Black Jungle	5.4	42
tt0036606	Another Time, Another Place	6.5	302
tt0036757	Destiny	6.2	171
tt0036775	Double Indemnity	8.3	150072
tt0036991	Die Kreuzlschreiber	6.7	12
tt0037065	Melusine	3.5	18
tt0037483	Eyes of Love	7.5	23
tt0037547	Blood on the Sun	6.1	1969
tt0037913	Mildred Pierce	8.0	24383
tt0038086	Shiva und die Galgenblume	7.1	24
tt0038089	Siluri umani	7.2	51
tt0038355	The Big Sleep	7.9	82738
tt0039241	Captain Demonio	3.8	8
tt0039348	L'ebreo errante	6.7	63
tt0039442	Habla, mudita	6.3	149
tt0039478	Hue and Cry	6.8	1509
tt0039536	Kiss of Death	7.4	7887
tt0039631	Monsieur Verdoux	7.9	16796
tt0039689	Out of the Past	8.0	34987
tt0040018	It's Forever Springtime	6.6	89
tt0040221	Caught	7.0	3581
tt0040266	The Dancing Years	6.2	72
tt0040284	The Last Days of Pompeii	5.8	110
tt0040300	The Devil Is a Woman	7.4	122
tt0040348	The Farm of Seven Sins	6.7	77
tt0040412	A Thief Has Arrived	5.2	5
tt0040497	Jour de Fête	7.3	7959
tt0040525	The Lady from Shanghai	7.6	28715
tt0040533	The Legend of Faust	7.2	31
tt0040559	Machine to Kill Bad People	6.7	672
tt0040605	The Glass Mountain	6.5	264
tt0040619	The Mill on the Po	6.8	174
tt0040629	My Own True Love	5.6	48
tt0040711	Prince of the Plains	6.4	15
tt0040849	The Sun Comes Up	6.5	387
tt0041084	Abandoned	6.6	391
tt0041085	Abbott and Costello Meet the Killer, Boris Karloff	6.9	3787
tt0041089	Adam and Evelyne	6.2	529
tt0041091	Adam and Eve	5.6	15
tt0041092	Adémaï au poteau-frontière	6.7	11
tt0041098	Africa Screams	6.2	3696
tt0041102	A Night of Fame	5.9	93
tt0041113	All the King's Men	7.5	14335
tt0041117	Ambush	6.5	601
tt0041119	Love and Poison	4.9	11
tt0041125	Anna Lucasta	6.4	140
tt0041134	The Astonished Heart	6.0	393
tt0041136	Clear the Ring	6.3	44
tt0041141	Aventurera	7.5	574
tt0041144	Bad Boy	6.7	342
tt0041147	Bad Men of Tombstone	6.2	120
tt0041149	Bagdad	5.4	394
tt0041151	بلدي وخفة	5.0	9
tt0041152	Bandit King of Texas	6.8	64
tt0041158	The Barkleys of Broadway	7.0	3026
tt0041159	Barrier to the North	5.8	22
tt0041163	Battleground	7.5	6983
tt0041165	The Beautiful Blonde from Bashful Bend	6.1	830
