 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 0,             1,               0,              0,         1,           0,          0,                         1,                           0,                          0,            6,              0,             1
 1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             2
 2,             4,               0,              0,        15,           2,          2,                        13,                           2,                          0,           22,              4,             2
 3,             7,               0,              0,        15,           2,          1,                        25,                           4,                          1,           31,              8,             2
 4,            10,               0,              1,        31,           4,          2,                        41,                           6,                          1,           52,             15,             3
 5,            13,               0,              0,        47,           6,          3,                        61,                           8,                          1,           64,             19,             4
 6,            18,               1,              1,        54,           6,          3,                        85,                           9,                          2,           79,             22,             4
 7,            27,               4,              1,        73,           8,          5,                       113,                          11,                          2,           93,             28,             4
 8,            30,               4,              1,       101,          11,          5,                       145,                          13,                          2,          122,             39,             6
 9,            33,               4,              2,       117,          13,         10,                       181,                          15,                          3,          143,             48,             5
10,            36,               4,              2,       115,          13,          6,                       221,                          15,                          4,          169,             58,             6
